TC3 scheduled/num_streams 114/173 = 65.9%
k: 3 (100.0, '%', 'unscheduled', 0, 'total', 24, 'e2e too large', [], 'bandwidth violation', [])
 cycle_time: 100us bandwidth: 6250.0bytes k: 2 (92.0, '%', 'unscheduled', 4, 'total', 52, 'e2e too large', [], 'bandwidth violation', [106, 125, 134, 136])
 cycle_time: 50us bandwidth: 3125.0bytes k: 1 (43.0, '%', 'unscheduled', 55, 'total', 97, 'e2e too large', [], 'bandwidth violation', [16, 60, 29, 148, 55, 85, 80, 13, 104, 14, 156, 91, 81, 64, 18, 89, 172, 116, 88, 59, 7, 48, 149, 79, 108, 27, 43, 94, 23, 40, 95, 11, 58, 30, 114, 112, 127, 8, 25, 66, 107, 100, 71, 9, 130, 82, 171, 121, 47, 128, 39, 111, 6, 131, 65])
Stream: id 109 | k_group 1 | q_n 3 | node0_0_4_0->node0_0_4_2 | period 40.0| deadline 28.68 | size 538| injection delay:0['node0_0_4_0', 'sw_0_4', 'node0_0_4_2']['q6']
Stream: id 139 | k_group 1 | q_n 3 | node0_0_4_3->node0_0_2_0 | period 40.0| deadline 28.68 | size 1088| injection delay:0['node0_0_4_3', 'sw_0_4', 'sw_0_3', 'sw_0_2', 'node0_0_2_0']['q6', 'q7', 'q6']
Stream: id 66 | k_group 1 | q_n 3 | node0_0_5_2->node0_0_4_1 | period 40.0| deadline 28.84 | size 654| injection delay:0['node0_0_5_2', 'sw_0_5', 'sw_0_4', 'node0_0_4_1']['q6', 'q7']
Stream: id 126 | k_group 1 | q_n 3 | node0_0_5_0->node0_0_2_2 | period 200.0| deadline 28.84 | size 449| injection delay:0['node0_0_5_0', 'sw_0_5', 'sw_0_4', 'sw_0_3', 'sw_0_2', 'node0_0_2_2']['q7', 'q5', 'q6', 'q7']
Stream: id 156 | k_group 1 | q_n 3 | node0_0_5_1->node0_0_1_0 | period 40.0| deadline 28.84 | size 902| injection delay:0['node0_0_5_1', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_0']['q7', 'q6', 'q5']
Stream: id 9 | k_group 1 | q_n 3 | node0_0_0_1->node0_0_4_2 | period 40.0| deadline 29.08 | size 902| injection delay:1['node0_0_0_1', 'sw_0_0', 'sw_0_5', 'sw_0_4', 'node0_0_4_2']['q7', 'q6', 'q5']
Stream: id 83 | k_group 1 | q_n 3 | node0_0_1_3->node0_0_2_0 | period 200.0| deadline 29.2 | size 971| injection delay:0['node0_0_1_3', 'sw_0_1', 'sw_0_0', 'sw_0_5', 'sw_0_4', 'sw_0_3', 'sw_0_2', 'node0_0_2_0']['q6', 'q7', 'q6', 'q7', 'q5', 'q7']
Stream: id 97 | k_group 1 | q_n 3 | node0_0_4_3->node0_0_1_0 | period 200.0| deadline 29.84 | size 397| injection delay:1['node0_0_4_3', 'sw_0_4', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_0']['q7', 'q6', 'q5', 'q7']
Stream: id 114 | k_group 1 | q_n 3 | node0_0_5_3->node0_0_2_2 | period 40.0| deadline 30.24 | size 527| injection delay:0['node0_0_5_3', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'node0_0_2_2']['q6', 'q5', 'q7', 'q5']
Stream: id 51 | k_group 1 | q_n 3 | node0_0_5_0->node0_0_0_0 | period 40.0| deadline 30.36 | size 538| injection delay:0['node0_0_5_0', 'sw_0_5', 'sw_0_0', 'node0_0_0_0']['q7', 'q6']
Stream: id 46 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_2_2 | period 100.0| deadline 30.76 | size 705| injection delay:0['node0_0_2_1', 'sw_0_2', 'node0_0_2_2']['q6']
Stream: id 32 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_1_1 | period 200.0| deadline 30.8 | size 156| injection delay:1['node0_0_2_1', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_1']['q6', 'q5', 'q6', 'q5', 'q6', 'q5']
Stream: id 14 | k_group 1 | q_n 3 | node0_0_5_2->node0_0_1_2 | period 100.0| deadline 30.96 | size 1153| injection delay:0['node0_0_5_2', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_2']['q7', 'q6', 'q5']
